,location_name,year,the_total_ppp_mean,the_total_ppp_lower,the_total_ppp_upper,the_per_cap_ppp_mean,the_per_cap_ppp_lower,the_per_cap_ppp_upper,the_per_gdp_mean,the_per_gdp_lower,the_per_gdp_upper
49,Low income,1997,46259605,42187632,50760933,110,101,121,0.048,0.046,0.051
50,Low income,1998,47408419,43406474,52047751,110,101,121,0.048,0.046,0.051
51,Low income,1999,47084800,43224596,51561252,107,98,117,0.047,0.045,0.05
52,Low income,2000,46780123,42925142,51160920,104,95,113,0.046,0.044,0.049
53,Low income,2001,49262491,45204695,53778382,106,97,116,0.047,0.044,0.05
54,Low income,2002,51736718,47465956,56480694,108,100,118,0.047,0.044,0.049
55,Low income,2003,57470204,52961886,62576854,117,108,128,0.051,0.048,0.054
56,Low income,2004,61171977,56692479,66341075,122,113,132,0.052,0.05,0.055
57,Low income,2005,64638397,60127396,69738473,125,116,135,0.053,0.05,0.056
58,Low income,2006,66128530,61810086,70976411,124,116,134,0.053,0.051,0.056
59,Low income,2007,70099003,65786258,75093977,128,121,138,0.054,0.051,0.057
60,Low income,2008,72600971,68331069,77261223,130,122,138,0.055,0.052,0.058
61,Low income,2009,74761459,70167894,79611006,130,122,138,0.053,0.051,0.056
62,Low income,2010,76945803,72413391,81602075,130,123,138,0.053,0.051,0.056
63,Low income,2011,76864286,72521613,81602069,127,120,135,0.052,0.049,0.054
64,Low income,2012,75330081,71506732,79384882,122,116,128,0.053,0.05,0.055
65,Low income,2013,75731625,72019811,79326130,120,114,125,0.054,0.051,0.056
66,Low income,2014,78122812,74534190,81737366,121,115,126,0.054,0.052,0.057
67,Low income,2015,77937484,74420985,81746164,118,112,123,0.054,0.051,0.057
68,Low income,2016,78106941,74501607,82210682,115,110,121,0.053,0.05,0.056
69,Low income,2017,82888917,78424653,87463268,119,113,126,0.053,0.05,0.057
70,Lower-middle income,1995,258639772,233783558,286950496,126,114,139,0.037,0.034,0.041
71,Lower-middle income,1996,266876710,240694909,294683025,127,115,140,0.036,0.033,0.04
72,Lower-middle income,1997,278929615,251437668,308849585,130,118,144,0.037,0.033,0.04
73,Lower-middle income,1998,287195900,258339303,318581892,132,119,146,0.037,0.034,0.041
74,Lower-middle income,1999,297036992,267340673,329882641,134,120,149,0.037,0.033,0.041
75,Lower-middle income,2000,309544336,279912498,345261584,137,124,153,0.037,0.033,0.041
76,Lower-middle income,2001,330134376,299953349,366808841,143,130,159,0.037,0.034,0.041
77,Lower-middle income,2002,344115337,312555486,381714741,147,133,163,0.037,0.034,0.041
78,Lower-middle income,2003,369853095,337634928,410216270,155,141,172,0.038,0.034,0.042
79,Lower-middle income,2004,389520292,355802876,431056638,160,146,177,0.037,0.034,0.041
80,Lower-middle income,2005,418571080,384326133,462383954,169,155,187,0.038,0.035,0.041
81,Lower-middle income,2006,445520069,409315515,490904383,177,162,195,0.037,0.034,0.041
82,Lower-middle income,2007,479162307,440694859,527429787,187,172,206,0.037,0.035,0.041
83,Lower-middle income,2008,513246358,473484877,562882384,197,181,216,0.038,0.035,0.041
84,Lower-middle income,2009,535667157,493089333,586755989,202,186,221,0.038,0.035,0.041
85,Lower-middle income,2010,566508045,522800074,621630059,210,194,230,0.037,0.035,0.041
86,Lower-middle income,2011,603998164,557424291,662135954,220,203,241,0.038,0.035,0.041
87,Lower-middle income,2012,645402931,595536918,706226616,231,213,253,0.038,0.036,0.042
88,Lower-middle income,2013,695905368,641145008,767227794,245,226,270,0.039,0.036,0.043
89,Lower-middle income,2014,728037738,668333017,803612291,253,232,279,0.039,0.036,0.042
90,Lower-middle income,2015,771591980,706122533,854490495,264,241,292,0.038,0.035,0.042
91,Lower-middle income,2016,817253720,745605586,905897529,275,251,305,0.038,0.035,0.042
92,Lower-middle income,2017,870920317,785247410,971193822,289,261,322,0.039,0.035,0.043
93,Upper-middle income,1995,837180005,803021965,872584337,371,355,386,0.052,0.049,0.054
94,Upper-middle income,1996,880065893,846038267,918031064,386,371,402,0.052,0.05,0.055
95,Upper-middle income,1997,935818315,901846746,973273224,406,391,422,0.052,0.05,0.055
96,Upper-middle income,1998,970937969,935806158,1008657753,417,402,433,0.053,0.051,0.055
97,Upper-middle income,1999,1006015683,969379212,1045975837,428,413,445,0.053,0.051,0.056
98,Upper-middle income,2000,1045947998,1006990233,1088526716,441,425,459,0.052,0.05,0.055
99,Upper-middle income,2001,1106344748,1064519229,1151492400,463,446,482,0.053,0.051,0.056
100,Upper-middle income,2002,1168853864,1125493860,1217864643,485,467,506,0.054,0.052,0.056
101,Upper-middle income,2003,1222512499,1176671984,1269969129,504,485,524,0.053,0.051,0.056
102,Upper-middle income,2004,1275881983,1229035360,1324320156,522,503,542,0.051,0.049,0.054
103,Upper-middle income,2005,1364930848,1315468371,1417108259,555,535,576,0.051,0.049,0.053
104,Upper-middle income,2006,1466701512,1416529336,1521494294,593,572,615,0.05,0.048,0.052
105,Upper-middle income,2007,1566129108,1511306578,1620332033,628,606,650,0.049,0.047,0.051
106,Upper-middle income,2008,1716711713,1658187388,1779101422,684,661,709,0.051,0.049,0.053
107,Upper-middle income,2009,1830057790,1766256123,1895602501,725,700,751,0.053,0.051,0.056
108,Upper-middle income,2010,1921744887,1859584884,1992238279,757,732,784,0.052,0.05,0.055
109,Upper-middle income,2011,2053064926,1984613498,2124202711,803,776,831,0.053,0.051,0.055
110,Upper-middle income,2012,2168411240,2099178294,2242096640,842,815,871,0.053,0.051,0.055
111,Upper-middle income,2013,2288413544,2215736202,2363144371,882,854,911,0.054,0.052,0.056
112,Upper-middle income,2014,2421705298,2341787308,2502541544,927,896,958,0.055,0.053,0.057
113,Upper-middle income,2015,2562337356,2476697452,2657020103,974,942,1010,0.056,0.054,0.058
114,Upper-middle income,2016,2681632896,2580027412,2799643149,1012,974,1057,0.057,0.054,0.059
115,Upper-middle income,2017,2808915134,2653545422,2981886324,1053,995,1118,0.057,0.053,0.061
